"year","month","day","ssp126","ssp245","ssp370","ssp585"
2033,8,18,0,0,7.2441,1.5401
2033,8,19,0.0324,0,1.3651,3.3333
2033,8,20,0.2302,0.0089,0,1e-04
2033,8,21,2.8557,2.4366,0,0
2033,8,22,3.4009,7.2199,1.811,1.1763
2033,8,23,1e-04,4.8061,3.5044,13.2204
2033,8,24,0.0157,0.0012,0.0179,7.3418
2033,8,25,2.2846,0,1.264,7.2303
2033,8,26,0.1267,0,4.2512,3e-04
2033,8,27,3.9282,0.0732,0,1e-04
2033,8,28,10.594,1.393,0,2e-04
2033,8,29,2.7632,18.4532,0.717,9.8961
2033,8,30,4.0329,23.3787,1.7833,5.9716
2033,8,31,12.7239,13.3005,11.4068,0.0703
2034,8,1,2.7746,0,0.2949,9e-04
2034,8,2,9.0825,0.0024,2.097,5.7279
2034,8,3,10.6696,2.1849,4.0241,6.3168
2034,8,4,1.654,1.9471,4.095,1.3426
2034,8,5,0,2.2612,1.6623,4.5393
2034,8,6,9.354,1.1288,2.8442,1.5765
2034,8,7,12.6158,1.0886,0.3721,9.3731
2034,8,8,7.9704,0,0.031,10.3871
2034,8,9,6.8724,0.4431,0.0463,2.3559
2034,8,10,7.2707,6.1722,0.006,1.1374
2034,8,11,10.4783,13.4743,1.8113,0.1072
2034,8,12,11.2989,11.4449,4.3357,0.0047
2034,8,13,4.2745,3.3676,2.3439,0.0011
2034,8,14,0.0705,0.3622,1.793,2.5411
2034,8,15,2.0176,0.2414,3.9915,1.1193
2034,8,16,4.7411,0.1587,2.0646,5.7269
2034,8,17,10.2857,0,0,5.2816
2034,8,18,12.8013,0,0,1.3008
2034,8,19,6.2115,0,0.2683,3.7929
2034,8,20,2.7031,0,3.1607,2.4961
2034,8,21,2.4916,1.5345,3.3485,2.3109
2034,8,22,4.1417,8.4174,3.2484,1.9844
2034,8,23,10.5195,5.7451,8.3213,3.1514
2034,8,24,7.4235,9.9448,6.6908,0.9705
2034,8,25,3.1767,1.7201,1.1384,0.0957
2034,8,26,6.349,0,0.1323,0.299
2034,8,27,2.5048,3.4034,0.2644,1.0255
2034,8,28,0.1141,0.5195,0.9364,2.1533
2034,8,29,0,0.2034,9.6261,9.1901
2034,8,30,0,0.9491,2.9856,2.6675
2034,8,31,0.0022,0.9276,2.4077,0.0019
2035,8,1,2.699,22.9485,1.5254,1.6703
2035,8,2,16.6958,1.279,3.1931,0
2035,8,3,8.9798,0.073,5.2377,0.306
2035,8,4,5.579,0.4266,3e-04,5.356
2035,8,5,2.3209,0.0223,5.3473,7.8064
2035,8,6,48.2958,0,0.2135,1.7526
2035,8,7,16.5167,5e-04,0,1.3725
2035,8,8,0.7288,0.0208,0.3934,4.6368
2035,8,9,1.6769,0.0372,0.2984,0.5719
2035,8,10,2.1047,0.3144,3.1691,0.0468
2035,8,11,8.3118,6.1328,3.3493,0.0041
